id,group,aritfact
34901,ro.pippo,pippo-core
34902,ro.pippo,pippo-session
34903,ro.pippo,pippo-test
34904,de.flapdoodle.embed,de.flapdoodle.embed.memcached
34905,org.trimou,trimou-core
34906,org.trimou,trimou-extension-prettytime
34907,org.trimou,trimou-extension-minify
34908,ro.pippo,pippo-freemarker
34909,ro.pippo,pippo-jetty
34910,ro.pippo,pippo-metrics
34911,org.dhatim,dropwizard-prometheus
34912,ro.pippo,pippo-gson
34913,io.undertow,undertow-servlet-jakarta
34914,ro.pippo,pippo-controller
34915,ro.pippo,pippo-undertow
34916,com.erudika,para-client
34917,com.cloudinary,cloudinary-http45
34918,org.opengoofy.index12306,index12306-dependencies
34919,org.opengoofy.index12306,index12306-database-spring-boot-starter
34920,org.opengoofy.index12306,index12306-user-spring-boot-starter
34921,org.opengoofy.index12306,index12306-web-spring-boot-starter
34922,org.opengoofy.index12306,index12306-cache-spring-boot-starter
34923,org.opengoofy.index12306,index12306-convention-spring-boot-starter
34924,org.opengoofy.index12306,index12306-base-spring-boot-starter
34925,org.opengoofy.index12306,index12306-log-spring-boot-starter
34926,org.opengoofy.index12306,index12306-idempotent-spirng-boot-starter
34927,cn.hippo4j,hippo4j-config-spring-boot-starter
34928,org.opengoofy.index12306,index12306-user-service
34929,org.opengoofy.index12306,index12306-ticket-service
34930,org.opengoofy.index12306,index12306-order-service
34931,org.opengoofy.index12306,index12306-pay-service
34932,org.opengoofy.index12306,index12306-designpattern-spring-boot-starter
34933,org.opengoofy.index12306,index12306-common-spring-boot-starter
34934,cn.crane4j,crane4j-spring-boot-starter
34935,org.opengoofy.index12306,index12306-distributedid-spring-boot-starter
34936,org.crashub,crash.shell
34937,org.crashub,crash.connectors.ssh
34938,org.crashub,crash.connectors.web
34939,org.crashub,crash.packaging
34940,org.crashub,crash.plugins.mail
34941,org.crashub,crash.plugins.cron
34942,org.crashub,crash.doc.api
34943,org.crashub,crash.doc.reference
34944,org.crashub,crash.doc.cookbook
34945,org.apache.sshd,sshd-pam
34946,com.github.jnr,jnr-a64asm
34947,com.kohlschutter.boilerpipe,nekohtml-relocated
34948,com.kohlschutter.boilerpipe,nekohtml
34949,com.kohlschutter.boilerpipe,boilerpipe-common
34950,io.github.jbellis,jvector-base
34951,io.github.jbellis,jvector-examples
34952,io.github.jbellis,jvector-twenty
34953,com.indeed,util-mmap
34954,com.alibaba.toolkit.common.lang,lang
34955,com.alibaba.pokemon.bulbasaur,bulbasaur-core
34956,com.alibaba.pokemon.bulbasaur,bulbasaur-persist
34957,com.xxg,mybatis-generator-plugin
34958,com.blackcowx,mybatis-generator-auto-comment-plugin
34959,com.alibaba.pokemon.bulbasaur,bulbasaur-schedule
34960,com.alibaba.pokemon.bulbasaur,bulbasaur-task
34961,com.creditease.moniter,com.creditease.uav.monitorframework
34962,com.creditease.moniter,com.creditease.uav.monitorframework.apm
34963,com.creditease.moniter,com.creditease.uav.monitorframework.dproxy
34964,com.creditease.moniter,com.creditease.uav.logging
34965,com.creditease.moniter,com.creditease.uav.cache.redis
34966,aredis.sourceforge.net,aredis-api
34967,com.creditease.moniter,com.creditease.uav.fastjson
34968,com.creditease.moniter,com.creditease.uav.helper
34969,com.creditease.moniter,com.creditease.uav.base
34970,com.creditease.moniter,com.creditease.uav.mq
34971,com.cloudhopper.proxool,proxool
34972,com.creditease.moniter,com.creditease.uav.messaging
34973,com.creditease.moniter,com.creditease.uav.notifymanager
34974,com.creditease.moniter,org.uavstack.resources.common
34975,com.creditease.moniter,com.creditease.uav.elasticsearch.client
34976,jetty,jetty-deploy
34977,jetty,jetty-servlet
34978,jetty,jetty-webapp
34979,jetty,jetty-server
34980,com.creditease.moniter,com.creditease.uav.httpasync
34981,org.springframework.data,spring-data-commons-core
34982,jpcap,jpcap
34983,com.creditease.moniter,com.creditease.uav.annoscan
34984,com.creditease.moniter,com.creditease.uav.ttl
34985,com.creditease.moniter,com.creditease.uav.monitorframework.agent
34986,com.creditease.moniter,com.creditease.uav.datastore
34987,activemq-core-5.7.0.jar,activemq-core-5.7.0.jar
34988,commons-net-3.0.jar,commons-net-3.0.jar
34989,geronimo-jms_1.1_spec-1.1.1.jar,geronimo-jms_1.1_spec-1.1.1.jar
34990,geronimo-j2ee-management_1.1_spec-1.0.1.jar,geronimo-j2ee-management_1.1_spec-1.0.1.jar
34991,credinet-util.jar,credinet-util.jar
34992,mspl_client-1.0.0.jar,mspl_client-1.0.0.jar
34993,com.creditease.moniter,com.creditease.uav.agent.heartbeat
34994,com.creditease.moniter,com.creditease.uav.collect
34995,com.creditease.moniter,com.creditease.uav.notifycenter
34996,com.creditease.moniter,com.creditease.uav.invokechain
34997,com.creditease.moniter,com.creditease.uav.threadanalysis
34998,com.creditease.moniter,com.creditease.uav.mock.sl4j
34999,com.creditease.moniter,com.creditease.uav.tomcat6.plus
35000,com.creditease.moniter,com.creditease.uav.agent
35001,com.creditease.moniter,com.creditease.uav.cxf2.6.plus
35002,com.creditease.moniter,com.creditease.uav.tomcat6.bootstrap
35003,com.creditease.moniter,com.creditease.uav.healthmanager
35004,com.creditease.moniter,com.creditease.uav.dpclient
35005,com.creditease.moniter,com.creditease.uav.console
35006,com.creditease.moniter,com.creditease.uav.tomcat7.bootstrap
35007,com.creditease.moniter,com.creditease.uav.tomcat7.plus
35008,com.creditease.moniter,com.creditease.uav.tomcat.plus.core
35009,com.creditease.moniter,com.creditease.uav.appserver.bootstrap
35010,com.creditease.moniter,com.creditease.uav.rocketmqadmin
35011,com.creditease.moniter,com.creditease.uav.loghook
35012,com.creditease.moniter,com.creditease.uav.x.robot
35013,com.creditease.moniter,com.creditease.uav.x.robot.think
35014,com.creditease.moniter,com.creditease.uav.x.robot.handson
