user,repo,type,orcount
timols,jenkins-gitlab-merge-request-builder-plugin.git,pom.xml,137010398868882963857920265469847101537203187032542300094046086034339702541262977358035472213222536178332618776544677802340994331802617030289730620773455862687070142520816786189401573092626723060750880692872569667004841388294284386653988673349947727038595159348200576096213474752182367164626369824360342476677214136317717527237727872740610996404210139347916764456036107989540672625036945168647398166601546508931153956276721062676237899138977069268992
ustwo,clockwise.git,build.gradle,0
chandrudotxyz,MaterialDialogSearchView.git,build.gradle,0
lewismcgeary,AndroidtoAppleVectorLogo.git,build.gradle,0
shadowfaxtech,proSwipeButton.git,build.gradle,0
BlacKCaT27,CurrencyEditText.git,build.gradle,0
yulu,Instagram_Filter.git,,0
je-ge,spring-boot.git,pom.xml,8494644730891550778580350277737852595476714479198056352397578595158148781701177677209727978132237797128955035804719447174930914741594025122704806295347777859003763624063409388692249810787882299182849998206244291382341631318100085817640209095214391329430722493892290759168490142618401744956933934678082997129235603207110754308584325000796385584366430959736030211687390777572318001867577456304381032781443160877242868823506861581186991556193695391809536
chengzhicao,ChannelView.git,build.gradle,0
panliming-tuya,NotchScreenTool.git,build.gradle,0
antonkrasov,AndroidProgressLayout.git,build.gradle,0
zhaozhentao,MaterialImageView.git,build.gradle,0
michael-rapp,AndroidBottomSheet.git,build.gradle,0
xiaolongzuo,niubi-job.git,pom.xml,147113786819776402846819695785260853735455255521931146577429209939623332644532181931257158076658314241814352982595463530377372426986189655484831740907669450018307495180111860220013896954279347507406302438023594520776840556124030441165590582118739186709921388397866878919714231859544448712137958765738314040835154296993335127919742289693797385903938619253567972632407004550975045684938814106861360395375441873342961001845748775545931960291989507751390413324352
drawers,SpinnerDatePicker.git,build.gradle,0
amazon-archives,amazon-kinesis-connectors.git,pom.xml,18683452039869135566695714565761966428789905847209963002869960873151903794955712927268366937660480064041665192011411060594863480310185951576254242436344850248676008776990912668629777844198948035930360886309460177009911676011593870945342458101835836642278096201985087107002863716074932176705699427444351403871699706195550195625150499862953030485418583464784158357714999816734112008214800386886927980298569263207131355892800821578105470734867756221819010123038720
mybatis,mybatipse.git,,0
hitherejoe,Constraints.git,build.gradle,0
vladexologija,PinterestListView.git,,0
AnoyiX,grpc-spring-boot-starter.git,pom.xml,583747540894937580046746990522482324220897583486846542907421298523617024526139837662044029275997871402866498083652563659560429112051903969328578145504796985899309480631487359124173784495688488202986029978586112670199357199961270096822679693633474585272908475637588445363388078232266720943481399085948140480323734706139604298708446815300355562128890368932640084415325475034870659203181123621071750124845468024086734448145549190747854327637689060619173768873969664
johnkil,SideNavigation.git,,0
dubboclub,dubbo-plus.git,pom.xml,307917412539161913191109896420117127924519912425061763536198486240586631775852858885475611829713457844505579892383442611649423769041055926014868059203046461723403504106002622464467410453983811583717018135801294012358060933347312561670148629103027336009350887151120776895985725577183903381835295465703453753413541448814908619269072880268122133958561444460682194462210301657198794707288022949012712400354972777184723510927537827031681028748211773558269066394613055488
Devlight,TintLayout.git,build.gradle,0
D-clock,ScratchView.git,build.gradle,0
raphaelbussa,PermissionUtils.git,build.gradle,0
flavienlaurent,spans.git,build.gradle,0
slidenerd,materialtest.git,build.gradle,0
promeG,XLog.git,build.gradle,0
easemob,sdkdemoapp3.0_android.git,build.gradle,0
matthewrkula,AnimatedPathView.git,,0
spring-attic,spring-security-oauth2-boot.git,build.gradle,0
liuguangqiang,IPicker.git,build.gradle,0
ongakuer,ViewPagerHeaderScrollDemo.git,build.gradle,0
yangchong211,YCStatusBar.git,build.gradle,0
react-native-component,react-native-smart-barcode.git,build.gradle,0
damonliuchn,DecompileApk.git,build.gradle,0
kmshack,Android-TopScrollHelper.git,build.gradle,0
dreamlivemeng,UpMarqueeTextView-master.git,build.gradle,0
yuweiguocn,SquareLoading.git,build.gradle,0
dinosaurwithakatana,hacker-news-android.git,build.gradle,0
uin3566,Dota2Helper.git,build.gradle,0
xtTech,app-version.git,pom.xml,19436759410691211178659549017472842649895677518947272089278270179792897001513003094177596688037283017411937488889391718876454998449688395333917155227740050209919994501779666547659315086795741236856830177571543991473371666079396204446390705497238335037185315197253577251273502004609130655051476925683377145624816399913204101689481321419284138639388886799814185623875590715799738062673312591892504063356991209656200435325926628638324050625094905539028660628609499660288
rjsvieira,floatingMenu.git,build.gradle,0
tzutalin,Android-Object-Detection.git,build.gradle,0
kymjs,KJGallery.git,build.gradle,0
jonfhancock,JsonToJava.git,,0
wildabeast,BarcodeScanner.git,,0
fenjuly,ToggleExpandLayout.git,build.gradle,0
jgilfelt,android-mapviewballoons.git,,0
cpoopc,ScrollableLayout.git,build.gradle,0
liaohuqiu,android-support-23.2-sample.git,build.gradle,0
Bakumon,StatusLayoutManager.git,build.gradle,0
JMPergar,AwesomeText.git,build.gradle,0
satorufujiwara,material-scrolling.git,build.gradle,0
vincentbrison,dualcache.git,build.gradle,0
CaMnter,EasyRecyclerViewSidebar.git,build.gradle,0
ppamorim,Cult.git,build.gradle,0
Diffey,RxZhihuPager.git,build.gradle,0
Dawish,MDPlayer.git,build.gradle,0
kaleai,DBinding.git,build.gradle,0
gugalor,citylist.git,,0
sharish,BitmapMerger.git,build.gradle,0
janishar,android-dagger2-example.git,build.gradle,0
YancyYe,GalleryPick.git,build.gradle,0
throrin19,Android-Validator.git,pom.xml,4898883310657342436947850401401639604522231782621865961233415550616320366316550245614411808808882209683752589725123921141977824503727074585042721378292777435812376133285876920625254286345394996247527424
andraskindler,parallaxviewpager.git,build.gradle,0
coomar2841,android-multipicker-library.git,build.gradle,0
yesidlazaro,BadgedImageview.git,build.gradle,0
CoolThink,StatusBarAdapt.git,build.gradle,0
torryharris,TH-ProgressButton.git,,0
MaksTuev,ferro.git,build.gradle,0
andydevacc,CleverRecyclerView.git,build.gradle,0
wobiancao,ImageNice9Layout.git,build.gradle,0
percolate,caffeine.git,build.gradle,0
jhipster,jhipster.git,pom.xml,1491911130236331677807300281176305740330442847374714296933777927001586976478572627893078877799558581235702834050669032187190831362459036025460891607407102641050796933318613153911926997190745776125455544054719486950449767066407753774015724379740515017711684376910151777563697321632511749870223132052253605591407703853323218145219838194081319204014038928560675166184365666678871449207073340187947239038825192352933953400031844448383173955887634866441797702038645837049177237884047418769473536
jhw-dev,CircleLoadingView.git,build.gradle,0
JeasonWong,JikeGallery.git,build.gradle,0
zpng,spring-cloud-microservice-examples.git,pom.xml,1601927376736863085487723283218738235818668089496164606554020075755444722998340126557262304633816220812228248501440660708007341736952915720837299521460035920527542555728526067520351437880355201219104516708305372650022582558310496924996055397179197851176022102752713473099260924211804790182673318152817023057175115615782687541586273147010306199535311979839596099098574035388444874573359973469106448292221995065211295617542934290475213658482385194322657352136205055085992423362249438593067258734444544
dawsonice,ProMosaic.git,,0
mmin18,Dex65536.git,,0
SpikeKing,wcl-permission-demo.git,build.gradle,0
indeedeng,lsmtree.git,pom.xml,52490354402326765328183909923396490814441580450272401653028458899756588926996494136264862933322587426144321831158896864929281851252415948207955575009682192210126242464793704774264388847863017841626482899166888658006369945153789982610937889355536168778011116084232866788639395566919051162771113134817207900042560173285652292726679969935592148294847592279857584215471140118830432738209961215611293884558761402614733735348586720122816297306813877725498926722432547688679440979613669367870798976079955492864
holdenk,learning-spark-examples.git,pom.xml,13385448864074772753070230472558163207096882094473224421779269326241099155240223570688047365664698293439461998296332867897775880791697152450404589820366506509200851756060875671994304793923427626654911180765823601537127520854668014706536094571183790701332257990504223318385836209362545994677194269344557521415923421352924989001618295114000114861563626807954037767312566889129776308191811009283382224676229960074804916382426825545140474275139274449770948132095926140987732525951880402472232003980179552600064
RoyWallace,BottomNavigationBar.git,build.gradle,0
yaozs,YzsLib.git,build.gradle,0
ongakuer,CameraFilter.git,build.gradle,0
jesse01,WebViewJavascriptBridge.git,,0
qs-lll,FabActionAnimations.git,build.gradle,0
shangmingchao,PopupList.git,build.gradle,0
qalingo,qalingo-engine.git,pom.xml,60519105271400369842429225152919323702429694667979776833072813795476703245679376409514907939190889423556879425056158502640628035795185793194112913808279004332526036880507131256519150026255704124417350801324716437481249178524344896843279415575882623593020204386552209965761350099602462632905720764629940591723690224440423508809402463985145013208955364107023207124966331113940767126878761602007477860974809295285190887561928994197946939564145222025416264605789731042108669316597075579146222467280977097380384600621416710400
maksim-m,Popular-Movies-App.git,build.gradle,0
LittleFriendsGroup,KakaCache.git,build.gradle,0
jzachr,goldenorb.git,pom.xml,60519105271400383280370045557397067961170874919262527945674149415517854254084844735548601159213833131778576990966844326058188619116444662118698960919454722551297950368145147362910065639009879586783553087160361251115833863676372240044156200255300507811234205198525760537034195304064398361589494900500399416984839446427493274183285043904135651728822232978837277716418557353375185415531918664333204181140265180656855856698958035550388027715227180976875459353535079337117501257244128157108211275154562828191512384009802874944
AlexKolpa,fab-toolbar.git,build.gradle,0
ganhuo,Android-Ganhuo.git,build.gradle,0
dongzhong,TestForFloatingWindow.git,build.gradle,0
wenzhihao123,Android-loginsmooth-master.git,build.gradle,0
amigold,FunDapter.git,build.gradle,0
richk,CourseraDemoApp.git,build.gradle,0
arlindiDev,CircleCheckBox.git,,0
amitshekhariitbhu,NYBus.git,build.gradle,0
xuyisheng,TextViewForFullHtml.git,build.gradle,0
nicolasjafelle,PagingGridView.git,build.gradle,0
googlearchive,firebase-login-demo-android.git,build.gradle,0
Comcast,cmb.git,pom.xml,61850525587371191712538186559659803456316634167486303560478980702659247047674511012894097739926275055504437103752855653501083240569376159987629752104607559125567505533898882737622700274807291073820952224439101051679273316520606341894803349173122184301083804567635012126637867773238493584918679451467713198683294520670137462985042191047747121253792505788739516375532197913400402561294428789250568789225511924667550862333009167075721265744142462133826484289091003629861134625387114074957015381568837946204802819486068162691072
dujigui,TimerView.git,build.gradle,0
castagna,jena-examples.git,pom.xml,929573456968709887186483899761618963883584638759872429245554935022354241342740238105433903799717993773350676860538616767285540796877523090793348795209598853577178422677420204285322282067242209986006918624414888599971718425686117348704837365097444261276270234870062115922689641869535062459230004975239167563215393957198846258927096552993877268950714342839418712613202192771641136241055204228627389673286582618960351181083568661351844034479254463653126118913838056557241071842252489158215751559845114628587054249801189355945984
husaynhakeem,TicTacToe-MVVM.git,build.gradle,0
