id,group,aritfact
431359146674410236714672241392314090778194310760649159697657763987456,org.slf4j,slf4j-log4j12
862718293348820473429344482784628181556388621521298319395315527974912,org.springframework,spring-beans
1725436586697640946858688965569256363112777243042596638790631055949824,org.aspectj,aspectjweaver
3450873173395281893717377931138512726225554486085193277581262111899648,org.springframework,spring-tx
6901746346790563787434755862277025452451108972170386555162524223799296,org.testcontainers,testcontainers
13803492693581127574869511724554050904902217944340773110325048447598592,org.apache.dubbo,dubbo-demo-interface
27606985387162255149739023449108101809804435888681546220650096895197184,org.apache.dubbo,dubbo-demo-native-interface
55213970774324510299478046898216203619608871777363092441300193790394368,org.apache.dubbo,dubbo-demo-spring-boot-interface
110427941548649020598956093796432407239217743554726184882600387580788736,javax.cache,cache-api
220855883097298041197912187592864814478435487109452369765200775161577472,com.hazelcast,hazelcast
441711766194596082395824375185729628956870974218904739530401550323154944,jakarta.validation,jakarta.validation-api
883423532389192164791648750371459257913741948437809479060803100646309888,javax.el,javax.el-api
1766847064778384329583297500742918515827483896875618958121606201292619776,javax.xml.bind,jaxb-api
3533694129556768659166595001485837031654967793751237916243212402585239552,com.sun.xml.bind,jaxb-impl
7067388259113537318333190002971674063309935587502475832486424805170479104,com.sun.xml.bind,jaxb-core
14134776518227074636666380005943348126619871175004951664972849610340958208,com.ctrip.framework.apollo,apollo-client
28269553036454149273332760011886696253239742350009903329945699220681916416,com.ctrip.framework.apollo,apollo-mockserver
56539106072908298546665520023773392506479484700019806659891398441363832832,org.apache.httpcomponents,fluent-hc
113078212145816597093331040047546785012958969400039613319782796882727665664,com.squareup.okhttp3,okhttp
226156424291633194186662080095093570025917938800079226639565593765455331328,io.netty,netty-handler-proxy
452312848583266388373324160190187140051835877600158453279131187530910662656,io.netty,netty-transport-classes-epoll
904625697166532776746648320380374280103671755200316906558262375061821325312,io.netty,netty-transport-native-epoll
1809251394333065553493296640760748560207343510400633813116524750123642650624,org.jboss.netty,netty
3618502788666131106986593281521497120414687020801267626233049500247285301248,redis.clients,jedis
7237005577332262213973186563042994240829374041602535252466099000494570602496,com.github.codemonstur,embedded-redis
14474011154664524427946373126085988481658748083205070504932198000989141204992,javax.ws.rs,javax.ws.rs-api
28948022309329048855892746252171976963317496166410141009864396001978282409984,ch.qos.logback,logback-classic
57896044618658097711785492504343953926634992332820282019728792003956564819968,org.springframework.security,spring-security-bom
115792089237316195423570985008687907853269984665640564039457584007913129639936,io.netty,netty-bom
231584178474632390847141970017375815706539969331281128078915168015826259279872,org.apache.mina,mina-core
463168356949264781694283940034751631413079938662562256157830336031652518559744,org.glassfish.grizzly,grizzly-core
926336713898529563388567880069503262826159877325124512315660672063305037119488,org.apache.httpcomponents,httpcore
1852673427797059126777135760139006525652319754650249024631321344126610074238976,com.ecwid.consul,consul-api
3705346855594118253554271520278013051304639509300498049262642688253220148477952,com.pszymczyk.consul,embedded-consul
7410693711188236507108543040556026102609279018600996098525285376506440296955904,com.orbitz.consul,consul-client
14821387422376473014217086081112052205218558037201992197050570753012880593911808,com.netflix.eureka,eureka-client
29642774844752946028434172162224104410437116074403984394101141506025761187823616,com.netflix.eureka,eureka-core
59285549689505892056868344324448208820874232148807968788202283012051522375647232,com.googlecode.xmemcached,xmemcached
118571099379011784113736688648896417641748464297615937576404566024103044751294464,org.apache.cxf,cxf-rt-frontend-simple
237142198758023568227473377297792835283496928595231875152809132048206089502588928,org.apache.cxf,cxf-rt-transports-http
474284397516047136454946754595585670566993857190463750305618264096412179005177856,org.apache.thrift,libthrift
948568795032094272909893509191171341133987714380927500611236528192824358010355712,com.caucho,hessian
1897137590064188545819787018382342682267975428761855001222473056385648716020711424,com.squareup.okhttp3,mockwebserver
3794275180128377091639574036764685364535950857523710002444946112771297432041422848,org.mortbay.jetty,jetty
7588550360256754183279148073529370729071901715047420004889892225542594864082845696,org.hibernate.validator,hibernate-validator
15177100720513508366558296147058741458143803430094840009779784451085189728165691392,com.esotericsoftware,kryo
30354201441027016733116592294117482916287606860189680019559568902170379456331382784,de.javakaffee,kryo-serializers
60708402882054033466233184588234965832575213720379360039119137804340758912662765568,de.ruedigermoeller,fst
121416805764108066932466369176469931665150427440758720078238275608681517825325531136,org.apache.avro,avro
