id,group,aritfact
4572,org.jboss.galleon,galleon-maven-plugin
4573,org.jboss.arquillian.container,arquillian-container-test-spi
4574,org.jboss.slf4j,slf4j-jboss-logging
4575,org.wildfly.channel,channel-core
4576,org.wildfly.channel,maven-resolver
4577,org.eclipse.microprofile.reactive.messaging,microprofile-reactive-messaging-api
4578,org.wildfly.glow,wildfly-glow-test-galleon-pack
4579,org.wildfly.glow,wildfly-glow-test-feature-pack-classes
4580,org.wildfly.glow,wildfly-glow-core
4581,org.wildfly.glow,wildfly-glow-maven-resolver
4582,${project.groupId},wildfly-glow-arquillian-plugin
4583,org.springframework.cloud,spring-cloud-starter-netflix-ribbon
4584,student.examples.custom,validation
4585,net.devh,grpc-server-spring-boot-starter
4586,software.amazon.awssdk,kms
4587,software.amazon.encryption.s3,amazon-s3-encryption-client-java
4588,com.github.hms-dbmi,pic-sure
4589,io.mybatis,mybatis-mapper
4590,org.patheloper,pathetic-model
4591,org.patheloper,pathetic-api
4592,org.patheloper,pathetic-nms
4593,org.patheloper,v1_20_R2
4594,org.patheloper,v1_20_R1
4595,org.patheloper,v1_19_R3
4596,org.patheloper,v1_19_R2
4597,org.patheloper,v1_18
4598,org.patheloper,v1_17
4599,org.patheloper,v1_16
4600,org.patheloper,v1_15
4601,org.patheloper,v1_12
4602,org.patheloper,v1_8
4603,org.patheloper,pathetic-mapping
4604,org.openpnp,opencv
4605,com.google.cloud.tools,jib-maven-plugin
4606,org.mongodb,mongo-java-driver
4607,com.sun.activation,javax.activation
4608,jp.osdn.ocra,jp.osdn.ocra
4609,jp.osdn.ocrb,jp.osdn.ocrb
4610,org.concordion,concordion
4611,de.metas.handlingunits,de.metas.handlingunits.base
4612,de.metas.ui.web,de.metas.ui.web.base
4613,de.metas.manufacturing,de.metas.manufacturing
4614,de.metas.util,de.metas.util.web
4615,de.metas.common.rest_api,de-metas-common-rest_api
4616,de.metas.workflow,de.metas.workflow.rest-api
4617,de.metas.adempiere.adempiere,de.metas.adempiere.adempiere.base
4618,de.metas.business,de.metas.business
4619,de.metas.printing,de.metas.printing.api
4620,de.metas.printing,de.metas.printing.base
4621,de.metas.printing,de.metas.printing.client
4622,org.apache.cxf,cxf-parent
4623,org.apache.cxf,cxf
4624,net.dev.java,pdf-renderer
4625,org.springframework.integration,spring-integration-mail
4626,de.metas.device.api,de.metas.device.api
4627,de.metas.global_qrcode,de.metas.global_qrcode.api
4628,de.metas.common.util,de-metas-common-util
4629,de.metas.swat,de.metas.swat.base
4630,de.metas.externalreference,de.metas.externalreference
4631,de.metas.issue.tracking,de.metas.issue.tracking.github
4632,de.metas.issue.tracking.everhour,de.metas.issue.tracking.everhour
4633,de.metas.dist,metasfresh-dist-serverRoot
4634,de.metas.migration,de.metas.migration.cli
4635,org.testcontainers,rabbitmq
4636,de.metas.banking,de.metas.banking.camt53
4637,de.metas.vertical.pharma,metasfresh-pharma.msv3.commons
4638,de.metas.async,de.metas.async
4639,de.metas.vendor.gateway,de.metas.vendor.gateway.api
4640,org.springframework.ws,spring-ws-test
