user,repo,type,orcount
jsanchezv,JSpeccy.git,pom.xml,0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e000000000000000000000000140000000000000000000000000000000000000000000000000000000000000000000040000000000060000
AnaidaOks,JavaCore_Worker.git,build.gradle,0x0
greenmail-mail-test,greenmail.git,pom.xml,0x603fb03f00100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000200000000000000000000000001fffffff0000000000000010000000400006000000000000000000000000000000000000000000000001000c00000002000000000000000002000000
Rakesh2608,ecommerce.git,pom.xml,0x200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200001800070200
muthuramakrishnan,coding.git,unknown,0x0
daniilshauchenka,jenkins-java.git,pom.xml,0x100000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000400000000
EuderAlves,api_Financeiro.git,pom.xml,0x3800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000001800070200
yupiik,bundlebee.git,pom.xml,0x8000fc00000000000000000000000301000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ffffffc000000000000000000000000000000800000000000000000000000000000000000000000000000000000002400000000000000000000000000020000
jenkinsci,plugin-pom.git,pom.xml,0x200780000000000000000000000000000000000000000002100000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003fffe0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000002000000
GacovAndre,Project-9.git,unknown,0x0
Simo-univpm,demo-app.git,pom.xml,0x240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003c0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c000000002001000060200
VictorNagibator,lab_7_java.git,unknown,0x0
jlrleducaand,Streamsud2.git,pom.xml,0x800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000
bryopsida,spring-boot-starter-tomcat.git,build.gradle,0x0
Tanaguru,tanaguru2020-engine.git,pom.xml,0x5026f0000000000000000000000000000000000000000000000000000000000000000002000080008000000000000000000000000004000000000000800000000002000000000000000000000000000000000000000000000000000000000000000000001fffc000000000000000000000000000000000200000000400008010a0000000000100000000000000000000000000000000102400004008000c000240000003002000220
aniketsanap43,docker-java.git,pom.xml,0x40200
Lekan701,SpringBootJDBC.git,pom.xml,0x20000000000000000000002000000040000
richardjbaker,guicedemo.git,build.gradle,0x0
aksel1986,Java_course.git,unknown,0x0
Wyktorrr,Discover-Romania.git,pom.xml,0x40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000
hallielangley,ku-demo.git,unknown,0x0
orientedasad,android_development.git,unknown,0x0
chrosciu,javadevpro.git,pom.xml,0x20020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fe0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000002000000000000000000020000
hk9454,assignment-1.git,pom.xml,0x0
smonier,jira-portal-client.git,pom.xml,0xf000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
wjdrud2532,compiler.git,unknown,0x0
juseonghyun,Chatbot-App-HannamE.git,build.gradle,0x0
Dausten43,eduadvent.git,unknown,0x0
Anastasia-Shamanina,java-unit-test.git,unknown,0x0
iasmina14,laborator9.git,build.gradle,0x0
g0lovach,SocialNetwork.git,pom.xml,0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180004000000000001000060200
aniik8,100daysofCode.git,unknown,0x0
markozajc,LiBot.git,pom.xml,0x3ff03ff03c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003fffffff0000000000000000000000000000000000000000000020300600000000200000004000000000000000000000000000000000000000000000000000000000000000000000020
