id,group,aritfact
11727,com.github.nhojpatrick.qa,nhojpatrick-qa-ruleset-pmd
11728,com.github.nhojpatrick.qa,nhojpatrick-versions-ruleset
11729,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-all
11730,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-all-glue
11731,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-core
11732,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-all
11733,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-core
11734,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-jodabeans
11735,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-map
11736,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-map-glue
11737,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transform
11738,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transform-glue
11739,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-all
11740,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-state
11741,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-state-glue
11742,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-testing-internal-glue
11743,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-testing-internal-objects
11744,com.github.nhojpatrick.hamcrest,nhojpatrick-hamcrest-bom
11745,org.joda,joda-beans
11746,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-core
11747,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-print
11748,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-remove
11749,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-reverse
11750,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-set
11751,com.github.nhojpatrick.cucumber,nhojpatrick-cucumber-json-transformations-whitespace
11752,com.github.nhojpatrick.hamcrest,nhojpatrick-hamcrest-collections
