user,repo,type,orcount
m2ym,rsense.git,unknown,0x0
Yalantis,e-contact-android.git,build.gradle,0x0
XiqingLiu,JesMVP.git,build.gradle,0x0
yassirh,digitalocean-swimmer.git,build.gradle,0x0
stormpath,stormpath-sdk-java.git,pom.xml,0xffffffffff0000001000000000008000000040000000100000004000000003c000000000004000000000000000800000000000080000000000000000001000000080000010200255000e6b1b08010000000
JetBrains,la-clojure.git,unknown,0x0
cloudfoundry,java-buildpack-auto-reconfiguration.git,pom.xml,0xff0000000000000000000000000000000000000000000100000000000000008001000000000000000000000000000000000000000000000000000000000001408000000000000002420004000100000000000
dmytrodanylyk,template.git,build.gradle,0x0
mikedg1,winky.git,unknown,0x0
wustor,AndroidComponent.git,build.gradle,0x0
TyCoding,shiro.git,pom.xml,0x70000000000000000000008010000000000000000000000e00000000000000010400000000000000000000000000000000000000040000000020000000000000000000000000000020106e4013900000000002
mongeez,mongeez.git,pom.xml,0x7a000000000000000000000880010000000000000000000000000000400000000000000000000000000000000000000000000000000082000002000000000000000000000000001000000000015000200000000
nathanmarz,dfs-datastores.git,unknown,0x0
WuXiaolong,DesignSupportLibrarySample.git,build.gradle,0x0
geekyijun,seckill.git,pom.xml,0x800000000000000600000000000080000000000000000000000000000000000010020000000000000000000000000000000000000000000000000000000000000100000000008010020102c4097b00000000002
bmeike,ProgrammingAndroidExamples.git,unknown,0x0
guiguegon,SineView.git,build.gradle,0x0
dlukashev,AndroidSlidingUpPanel-foursquare-map-demo.git,build.gradle,0x0
RameshBhupathi,CollapsingToolbar-With-Webview.git,build.gradle,0x0
TangXiaoLv,Android-Router.git,build.gradle,0x0
hengyunabc,spring-boot-inside.git,pom.xml,0x3f0000000000000000400000000000000000000000800000001000000000000000004008000000000000000000000000000000000000000000000000100000000100010010120850000c120000000000200000000
benniaobuguai,android-dynamic-action.git,build.gradle,0x0
kercer,kerkee_android.git,build.gradle,0x0
bowyer-app,fab-toolbar.git,build.gradle,0x0
ChenTianSaber,SlideBack.git,build.gradle,0x0
alexrs,WaveDrawable.git,build.gradle,0x0
crosswalk-project,crosswalk-cordova-android.git,build.gradle,0x0
wurstmeister,storm-kafka-0.8-plus.git,pom.xml,0xfc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000040000000000012
chentao0707,SettingView.git,unknown,0x0
ogaclejapan,RxBinding.git,build.gradle,0x0
evollu,react-native-firebase-analytics.git,build.gradle,0x0
fanshanhong,fan-push.git,build.gradle,0x0
nimengbo,TextViewSpanClickable.git,build.gradle,0x0
ShkurtiA,AndroidPullMenu.git,build.gradle,0x0
BoD,android-prefs.git,build.gradle,0x0
tuacy,RecyclerPinnedHeader.git,build.gradle,0x0
robbertvanwaveren,boot-stateless-auth.git,build.gradle,0x0
yfuks,react-native-action-sheet.git,build.gradle,0x0
tosslife,FlyTxtView.git,unknown,0x0
mirrajabi,view-effects.git,build.gradle,0x0
spring-attic,spring-xd-samples.git,pom.xml,0x7fff00000010000000000000000000000000000000000000000000000000000000000000e00000000000000000000000000000000000000000000000000000000800000000000000000100000000004080200000200202
hf-hf,mail-micro-service.git,pom.xml,0x8000000000000000000080000000000000000000000000000000000000000004081000040204000000002a0000000
cloudsmith,geppetto.git,pom.xml,0x7fffffffff8000000000000000000000000000000000000000000010000020000000000000000000100000000000404000000000000000000000000000000800000000000000000000000000000000000000000012800004002e0602
sugarac,sribbble.git,build.gradle,0x0
adamsmith,game-theory-poker.git,unknown,0x0
NanBox,ParallaxRecyclerView.git,build.gradle,0x0
liaohuqiu,android-ActionQueue.git,build.gradle,0x0
smartyuge,RedPackage.git,build.gradle,0x0
rejasupotaro,Rebuild.git,build.gradle,0x0
Ecco,HelloSwift.git,unknown,0x0
googlesamples,io2014-codelabs.git,build.gradle,0x0
liangfeidotme,AndroidGlitterView.git,build.gradle,0x0
codepath,dagger2-example.git,build.gradle,0x0
cesarferreira,RxPaper.git,build.gradle,0x0
jaychang0917,SocialLoginManager.git,build.gradle,0x0
linheimx,LChart.git,build.gradle,0x0
lorensiuswlt,AndroidImageCrop.git,unknown,0x0
mesos,hadoop.git,pom.xml,0x78000000000000000000000000000000000000000100000000000000000000000000000000000000000000008000000000000100000000004000000000004000000000000000000000000000000000000000000000000000000000002
liaoziyang,ContentAssist.git,unknown,0x0
mattermost,mattermost-android-classic.git,build.gradle,0x0
mcharmas,android-tagview.git,build.gradle,0x0
jeevatkm,digitalocean-api-java.git,pom.xml,0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000200000402
dgmltn,Android-ShareEverywhere.git,build.gradle,0x0
MiEcosystem,NewXmPluginSDK.git,build.gradle,0x0
rstoyanchev,spring-mvc-chat.git,pom.xml,0x800000000000000000000000000000000000001000000000200000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000020100040a5d00010000002
scijava,scijava-jupyter-kernel.git,pom.xml,0x1fffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000200000002
hanhailong,SwipeBackSample.git,build.gradle,0x0
elastic,elasticsearch-river-rabbitmq.git,pom.xml,0x20000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
liaokailin,springcloud.git,pom.xml,0x3fc00000000000000000000000000000004000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300000000000001a0951008100000020000000000400000002
elephantscale,hadoop-book.git,pom.xml,0x3c000000800000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000200002
jvelo,mayocat-shop.git,pom.xml,0x1ffffffffffffffffffffffffc000000000000000000000000000000800000000100000000000000000000000000000400000000000000000000000140000500100000000000000001000000100d0000020000000000040000000000000000000000000000002f0000480200002
emmasuzuki,EasyForm.git,build.gradle,0x0
rchodava,datamill.git,pom.xml,0xffffe00000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000080000000000000000000000000800000000000000000000000000000000000000010002000000800000000000000000000004000006290000000200012
oney,react-native-gcm-android.git,build.gradle,0x0
ikidou,FragmentBackHandler.git,build.gradle,0x0
yskgood,dubbo-hystrix-support.git,pom.xml,0x30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000020000000000000000000000000000010000000000002
zhaozepeng,Android_framework.git,build.gradle,0x0
LiveRamp,hank.git,pom.xml,0xffc000000000000000000000000000000000000004800000000004000000000000000000000000000000000002000000000000408c000000000000000000000010000008040000000000000000040040000000080002002000000000000000000000000800000010000010088480000602
googlearchive,android-SwipeRefreshListFragment.git,build.gradle,0x0
free46000,HybridFoundation.git,build.gradle,0x0
KellenHu,MvpRxRetrofit.git,build.gradle,0x0
lmco,eurekastreams.git,pom.xml,0x1fffffffffffffff0000000081120000000000000000000000000000000000000002000000022000010000000004000000800803200000000000004000000000000000000000000080000000400004000000000010000000000000882000002000004000000000000000000000000010001910a00c00600202
learnNcode,ScrollBarPanelWithClock.git,unknown,0x0
LidongWen,WenldBanner.git,build.gradle,0x0
aizuzi,FastAdapter.git,build.gradle,0x0
Thomas-S-B,visualee.git,pom.xml,0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020002
YeDaxia,WanDaoJiaIndex.git,unknown,0x0
fabric8io,elasticsearch-cloud-kubernetes.git,pom.xml,0xc0000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001800000000000000000000000000000000000000000000000000000000
liuzhao2007,EasyRouter.git,build.gradle,0x0
steellee,sao.git,pom.xml,0x1fffff000000000000000000000000000000000000000000000000000000000080000000000000000000000000000010000000001000000000000000000000001080000000000000080000000000000000000000000000080000020002000000000000010080c3205019e24410a08500000121b202000046e0000400
scp504677840,Fresco.git,build.gradle,0x0
wangpeiyuan,DanmuDemo.git,build.gradle,0x0
memfis19,Annca.git,build.gradle,0x0
sszhangpengfei,MediaCodecEncodeH264.git,build.gradle,0x0
HomHomLin,FrescoImageView.git,build.gradle,0x0
zhengxiaopeng,BounceProgressBar.git,build.gradle,0x0
aliumujib,Nibo.git,build.gradle,0x0
aicaprio,CurtainView.git,build.gradle,0x0
liangpengfei,SearchView.git,build.gradle,0x0
intel-machine-learning,DistML.git,pom.xml,0x1fe0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000200000
panxw,android-image-indicator.git,build.gradle,0x0
LiangLuDev,DevShapeUtils.git,build.gradle,0x0
dongjunkun,RecyclerViewAccentFirst.git,build.gradle,0x0
saulmm,Android-L-Preview-Concepts.git,build.gradle,0x0
lxdvs,Volley-OkHttp-Android.git,build.gradle,0x0
Lichenwei-Dev,ObservableScrollView.git,build.gradle,0x0
CaMnter,EasyLikeArea.git,build.gradle,0x0
nanchen2251,CoordinatorAppBarDemo.git,build.gradle,0x0
lukaspili,Auto-Dagger2.git,build.gradle,0x0
wkp111,StickLayout.git,build.gradle,0x0
astamuse,asta4d.git,pom.xml,0x7e000000000000000000000000000000000000000000000000000000018000000000000000000000000000008000000000080000000000000000000000000000000000000000400000001000080000000000000000000000000000082000001002010000000000000000000000000000000000000004081008240400008
play,play-android.git,pom.xml,0x780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000401
qdxxxx,StickyHeaderDecoration.git,build.gradle,0x0
xuminwlt,j360-cloud-all.git,pom.xml,0x38000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280000000000001a0171208000008028000000000020000000
neoremind,navi-pbrpc.git,pom.xml,0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000042000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006000000000000000210002000000000000000000000000001000050000010300010000002
MohammadAdib,Roundr.git,unknown,0x0
zqhong,finalspeed.git,unknown,0x0
renaudcerrato,static-maps-api.git,build.gradle,0x0
Pgrammerybj,AnimationUtils.git,build.gradle,0x0
